Time (s),8b10bIBM_Hex
1.672312e-05,34
1.677865e-05,eb
1.683423e-05,17
1.688978e-05,3b
1.694532e-05,85
1.700088e-05,53
1.705645e-05,4d
1.711202e-05,dc
1.716755e-05,4a
1.722309e-05,e9
1.727861e-05,88
1.733416e-05,0e
1.738974e-05,20
1.744528e-05,5d
1.750083e-05,d0
1.755635e-05,ed
1.761191e-05,01
1.766746e-05,69
1.772301e-05,de
1.777857e-05,38
1.783415e-05,9e
1.788973e-05,fa
1.794528e-05,07
1.800083e-05,4b
1.805635e-05,db
1.811192e-05,68
1.816749e-05,7b
1.822310e-05,43
1.827868e-05,0a
1.833420e-05,45
1.838978e-05,08
1.844535e-05,d7
1.850088e-05,0d
1.855645e-05,96
1.861203e-05,98
1.866756e-05,e6
1.872311e-05,35
1.877863e-05,3f
1.883416e-05,a5
1.888975e-05,98
1.894530e-05,76
1.900082e-05,fe
1.905635e-05,15
1.911190e-05,f7
1.916749e-05,0e
1.922307e-05,c8
1.927863e-05,af
1.933417e-05,90
1.938978e-05,60
1.944532e-05,66
1.950084e-05,cb
1.955640e-05,d5
1.961196e-05,f0
1.966753e-05,fa
1.972311e-05,9f
1.977864e-05,00
1.983424e-05,82
1.988976e-05,2b
1.994532e-05,91
2.000086e-05,74
2.005644e-05,31
2.011202e-05,0e
2.016758e-05,1e
2.022312e-05,6a
2.027863e-05,f4
2.033419e-05,76
2.038977e-05,48
2.044530e-05,69
2.050089e-05,6d
2.055642e-05,f4
2.061200e-05,93
2.066753e-05,8a
2.072309e-05,cd
2.077864e-05,7b
2.083422e-05,7e
2.088977e-05,ad
2.094529e-05,13
2.100085e-05,15
2.105639e-05,ee
2.111191e-05,fe
2.116747e-05,72
2.122303e-05,1e
2.127855e-05,3b
2.133413e-05,aa
2.138970e-05,14
2.144524e-05,a0
2.150081e-05,e7
2.155633e-05,d4
2.161193e-05,aa
2.166751e-05,23
2.172306e-05,67
2.177862e-05,9e
2.183414e-05,dc
2.188972e-05,b0
2.194528e-05,fb
2.200078e-05,73
2.205634e-05,a5
2.211190e-05,e0
2.216748e-05,4f
2.222303e-05,94
2.227859e-05,ca
2.233412e-05,06
2.238968e-05,12
2.244528e-05,92
2.250080e-05,e2
2.255636e-05,63
2.261191e-05,6d
2.266747e-05,62
2.272302e-05,78
2.277860e-05,45
2.283416e-05,93
2.288976e-05,0c
2.294531e-05,26
2.300083e-05,53
2.305637e-05,02
2.311190e-05,22
2.316744e-05,59
2.322300e-05,3e
2.327851e-05,63
2.333402e-05,ca
2.338965e-05,6e
2.344519e-05,2b
2.350077e-05,K.7c
2.355630e-05,b5
2.361185e-05,37
2.366742e-05,37
2.372301e-05,72
2.377858e-05,89
2.383419e-05,2d
2.388975e-05,cd
2.394530e-05,32
2.400084e-05,e9
2.405641e-05,7c
2.411191e-05,45
2.416747e-05,3e
2.422301e-05,04
2.427855e-05,3c
2.433409e-05,b0
2.438972e-05,K.7c
2.444526e-05,b5
2.450081e-05,d5
2.455632e-05,d5
2.461188e-05,K.7c
2.466740e-05,95
2.472297e-05,b5
2.477853e-05,b5
2.483406e-05,K.7c
2.488966e-05,95
2.494524e-05,b5
2.500082e-05,b5
2.505635e-05,K.7c
2.511187e-05,aa
2.516747e-05,99
2.522305e-05,99
2.527856e-05,8d
2.533413e-05,76
2.538969e-05,d2
2.544526e-05,c2
2.550085e-05,68
2.555640e-05,b3
2.561192e-05,26
2.566749e-05,1f
2.572302e-05,6c
2.577857e-05,43
2.583409e-05,08
2.588965e-05,a5
2.594518e-05,54
2.600074e-05,d3
2.605631e-05,52
2.611186e-05,34
2.616744e-05,02
2.622295e-05,95
2.627854e-05,55
2.633413e-05,8a
2.638964e-05,1b
2.644520e-05,be
2.650077e-05,1a
2.655635e-05,bb
2.661185e-05,K.bc
2.666741e-05,4a
2.672298e-05,4a
2.677848e-05,7b
2.683404e-05,K.7c
2.688960e-05,95
2.694513e-05,b5
2.700072e-05,b5
2.705626e-05,K.7c
2.711180e-05,95
2.716733e-05,b5
2.722291e-05,b5
2.727848e-05,K.7c
2.733404e-05,aa
2.738961e-05,99
2.744520e-05,99
2.750074e-05,8d
2.755628e-05,76
2.761187e-05,d2
2.766742e-05,c2
2.772296e-05,68
2.777851e-05,b3
2.783410e-05,26
2.788967e-05,1f
2.794519e-05,6c
2.800072e-05,43
2.805628e-05,08
2.811184e-05,a5
2.816741e-05,54
2.822298e-05,d3
2.827852e-05,52
2.833413e-05,34
2.838962e-05,02
2.844522e-05,95
2.850076e-05,55
2.855629e-05,8a
2.861183e-05,1b
2.866735e-05,be
2.872293e-05,1a
2.877851e-05,bb
2.883407e-05,3d
2.888964e-05,b7
2.894518e-05,56
2.900076e-05,fa
2.905628e-05,1b
2.911184e-05,0b
2.916739e-05,f6
2.922297e-05,53
2.927853e-05,41
2.933406e-05,9c
2.938961e-05,80
2.944524e-05,f0
2.950076e-05,4a
2.955628e-05,c3
2.961184e-05,7f
2.966740e-05,74
2.972297e-05,91
2.977852e-05,52
2.983409e-05,86
2.988964e-05,be
2.994518e-05,b6
3.000075e-05,a7
3.005629e-05,6f
3.011184e-05,7a
3.016740e-05,d6
3.022296e-05,e6
3.027853e-05,63
3.033404e-05,31
3.038960e-05,0c
3.044516e-05,fe
3.050068e-05,36
3.055624e-05,f0
3.061180e-05,29
3.066741e-05,ea
3.072296e-05,f3
3.077846e-05,1e
3.083400e-05,94
3.088958e-05,26
3.094514e-05,34
3.100070e-05,eb
3.105624e-05,17
3.111181e-05,3b
3.116739e-05,85
3.122297e-05,53
3.127850e-05,4d
3.133411e-05,dc
3.138966e-05,4a
3.144515e-05,e9
3.150071e-05,88
3.155627e-05,0e
3.161182e-05,20
3.166737e-05,5d
3.172289e-05,d0
3.177842e-05,ed
3.183400e-05,01
3.188958e-05,69
3.194510e-05,de
3.200071e-05,38
3.205624e-05,9e
3.211180e-05,fa
3.216735e-05,07
3.222287e-05,4b
3.227843e-05,db
3.233395e-05,68
3.238955e-05,7b
3.244512e-05,43
3.250076e-05,0a
3.255628e-05,45
3.261182e-05,08
3.266735e-05,d7
3.272288e-05,0d
3.277843e-05,96
3.283398e-05,98
3.288957e-05,e6
3.294512e-05,35
3.300063e-05,3f
3.305622e-05,a5
3.311179e-05,98
3.316731e-05,76
3.322289e-05,fe
3.327844e-05,15
3.333398e-05,f7
3.338956e-05,0e
3.344511e-05,c8
3.350074e-05,af
3.355626e-05,90
3.361183e-05,60
3.366734e-05,66
3.372292e-05,cb
3.377845e-05,d5
3.383401e-05,f0
3.388954e-05,fa
3.394511e-05,9f
3.400072e-05,00
3.405624e-05,82
3.411177e-05,2b
3.416733e-05,91
3.422289e-05,74
3.427846e-05,31
3.433401e-05,0e
3.438956e-05,1e
3.444515e-05,6a
3.450065e-05,f4
3.455619e-05,76
3.461174e-05,48
3.466729e-05,69
3.472285e-05,6d
3.477841e-05,f4
3.483400e-05,93
3.488955e-05,8a
3.494512e-05,cd
3.500069e-05,7b
3.505622e-05,7e
3.511176e-05,ad
3.516730e-05,13
3.522281e-05,15
3.527845e-05,ee
3.533396e-05,fe
3.538952e-05,72
3.544512e-05,1e
3.550069e-05,3b
3.555623e-05,aa
3.561176e-05,14
3.566731e-05,a0
3.572285e-05,e7
3.577839e-05,d4
3.583395e-05,aa
3.588950e-05,23
3.594508e-05,67
3.600062e-05,9e
3.605620e-05,dc
3.611172e-05,b0
3.616728e-05,fb
3.622282e-05,73
3.627840e-05,a5
3.633394e-05,e0
3.638949e-05,4f
3.644510e-05,94
3.650058e-05,ca
3.655618e-05,06
3.661177e-05,12
3.666729e-05,92
3.672284e-05,e2
3.677842e-05,63
3.683393e-05,6d
3.688951e-05,62
3.694512e-05,78
3.700063e-05,45
3.705623e-05,93
3.711177e-05,0c
3.716727e-05,26
3.722287e-05,53
3.727840e-05,02
3.733390e-05,22
3.738953e-05,59
3.744509e-05,3e
3.750068e-05,63
3.755622e-05,ca
3.761175e-05,6e
3.766730e-05,2b
3.772288e-05,1f
3.777841e-05,1f
3.783401e-05,6a
3.788953e-05,63
3.794509e-05,ed
3.800064e-05,a9
3.805624e-05,b5
3.811177e-05,35
3.816734e-05,fd
3.822287e-05,a0
3.827839e-05,a2
3.833395e-05,4a
3.838950e-05,96
3.844506e-05,e1
3.850062e-05,af
3.855616e-05,71
3.861174e-05,62
3.866729e-05,7b
3.872284e-05,d5
3.877838e-05,e1
3.883391e-05,8a
3.888949e-05,56
3.894508e-05,a0
3.900069e-05,55
3.905620e-05,68
3.911173e-05,89
3.916734e-05,d1
3.922286e-05,82
3.927843e-05,ff
3.933400e-05,b4
3.938953e-05,4c
3.944510e-05,23
3.950062e-05,7f
3.955613e-05,1e
3.961169e-05,48
3.966725e-05,83
3.972278e-05,7f
3.977838e-05,e8
3.983392e-05,1a
3.988950e-05,b2
3.994505e-05,cd
4.000064e-05,ea
4.005611e-05,c5
4.011170e-05,a9
4.016728e-05,c3
4.022283e-05,ac
4.027840e-05,01
4.033393e-05,62
4.038944e-05,ce
4.044498e-05,39
4.050055e-05,09
4.055613e-05,f6
4.061169e-05,7d
4.066725e-05,76
4.072280e-05,5f
4.077829e-05,39
4.083386e-05,K.bc
4.088944e-05,4a
4.094498e-05,4a
4.100052e-05,7b
4.105610e-05,K.7c
4.111163e-05,95
4.116720e-05,b5
4.122276e-05,b5
4.127830e-05,K.7c
4.133390e-05,95
4.138943e-05,b5
4.144496e-05,b5
4.150052e-05,K.7c
4.155608e-05,aa
4.161169e-05,99
4.166722e-05,99
4.172276e-05,8d
4.177827e-05,76
4.183388e-05,d2
4.188946e-05,c2
4.194502e-05,68
